CPU_Usage (%),Memory_Usage (%),Storage_Usage (GB),Network_Traffic (MB/s),Instance_Type,Cost
14,61,366,566,t2.large,187.06
29,58,232,667,t2.small,123.72
37,67,98,987,t2.small,140.75
65,36,176,164,t2.micro,101.32
91,24,117,416,t2.small,124.24
91,81,61,334,t2.small,147.3
99,14,434,487,t2.medium,182.33
25,30,225,275,t2.large,145.45
27,93,152,217,t2.medium,130.66
13,56,286,771,t2.small,123.92
57,59,355,642,t2.micro,146.11
77,81,72,240,t2.medium,155.44
32,39,270,722,t2.micro,114.17
54,33,239,715,t2.small,133.39
58,56,187,932,t2.medium,174.85
40,30,342,606,t2.micro,119.42
96,48,178,258,t2.medium,161.68
86,70,454,378,t2.micro,172.63
77,61,294,230,t2.micro,136.36
37,91,169,923,t2.small,152.04
35,27,147,784,t2.large,174.48
60,51,93,106,t2.small,103.65
52,81,56,817,t2.medium,160.53
10,12,225,974,t2.small,101.28
23,97,428,863,t2.micro,160.8
55,40,112,911,t2.micro,128.25
48,29,210,713,t2.small,127.2
51,58,228,765,t2.small,146.46
51,94,88,241,t2.small,122.31
77,96,305,285,t2.micro,157.7
88,46,270,763,t2.large,229.72
17,97,135,486,t2.micro,109.05
31,32,160,986,t2.micro,118.14
85,29,161,992,t2.large,222.34
40,44,402,304,t2.small,124.44
41,41,104,735,t2.large,173.46
41,70,339,486,t2.medium,164.92
31,85,151,883,t2.medium,165.35
44,31,493,696,t2.medium,173.74
48,20,404,761,t2.large,201.39
34,80,214,520,t2.large,192.67
24,16,430,107,t2.micro,83.31
41,55,153,727,t2.small,124.65
86,17,116,697,t2.micro,125.81
55,76,53,104,t2.large,167.95
70,84,425,264,t2.medium,190.88
37,41,264,978,t2.large,202.12
50,94,198,962,t2.small,169.36
85,79,150,531,t2.medium,181.88
45,89,413,329,t2.small,153.62
94,93,286,620,t2.micro,180.23
19,75,356,361,t2.micro,113.59
54,17,262,608,t2.medium,140.29
54,51,449,249,t2.medium,159.55
97,53,142,116,t2.micro,126.54
54,83,265,777,t2.large,222.56
91,22,322,286,t2.small,142.64
90,53,184,637,t2.medium,178.8
18,89,326,730,t2.medium,165.71
99,39,492,598,t2.medium,206.69
14,82,241,751,t2.micro,121.29
36,82,125,582,t2.micro,117.21
47,54,378,925,t2.medium,183.92
55,57,141,593,t2.small,130.12
22,83,187,763,t2.large,195.02
90,67,67,723,t2.large,222.32
31,87,304,445,t2.large,195.91
68,64,489,386,t2.micro,161.1
19,54,420,330,t2.small,120.75
80,30,188,538,t2.large,195.58
50,99,303,172,t2.micro,133.43
16,17,218,213,t2.large,131.95
85,89,329,842,t2.large,258.05
39,41,72,481,t2.micro,90.92
85,71,392,973,t2.micro,192.59
42,99,494,642,t2.small,180.44
73,53,146,824,t2.medium,173.2
99,76,236,655,t2.large,246.46
38,29,446,417,t2.medium,151.27
74,41,122,373,t2.medium,148.74
28,41,176,503,t2.large,162.93
61,20,356,780,t2.large,210.89
92,25,392,901,t2.medium,199.32
22,88,161,888,t2.micro,128.56
33,18,55,945,t2.micro,94.44
79,50,165,184,t2.large,184.99
49,10,51,133,t2.medium,88.33
19,31,72,345,t2.medium,94.8
37,31,194,521,t2.medium,124.53
88,61,300,606,t2.large,232.4
89,93,208,763,t2.medium,209.81
61,54,258,248,t2.small,125.98
67,22,184,748,t2.micro,122.35
72,48,292,188,t2.medium,153.79
50,25,368,583,t2.small,134.05
50,27,189,958,t2.small,136.29
89,13,309,761,t2.medium,177.74
75,72,346,440,t2.micro,156.78
60,40,295,578,t2.medium,163.04
75,94,255,489,t2.large,229.11
67,81,208,491,t2.small,151.84
12,27,385,578,t2.large,170.53
12,66,293,737,t2.large,186.66
45,71,161,740,t2.small,140.1
57,84,494,338,t2.large,228.34
36,19,494,269,t2.medium,140.3
31,32,205,424,t2.large,161.02
78,83,262,759,t2.medium,199.76
19,44,311,531,t2.small,114.47
26,75,53,529,t2.large,167.83
97,27,116,951,t2.medium,183.26
22,84,366,666,t2.small,147.46
25,28,301,904,t2.micro,116.06
44,13,266,845,t2.small,126.35
31,19,134,722,t2.micro,94.08
39,32,222,262,t2.large,155.33
22,20,220,895,t2.large,171.92
46,71,284,292,t2.small,127.77
89,38,212,826,t2.micro,155.18
36,13,271,660,t2.small,108.86
45,49,218,644,t2.micro,120.53
90,57,392,348,t2.medium,189.83
81,57,335,248,t2.small,148.66
36,56,102,193,t2.large,151.59
46,52,163,600,t2.medium,147.58
55,72,280,905,t2.small,168.24
62,24,293,666,t2.micro,126.29
98,84,119,700,t2.medium,200.22
66,59,126,757,t2.small,147.37
99,94,205,393,t2.small,177.53
23,46,489,578,t2.small,139.05
21,39,132,678,t2.micro,94.95
71,96,437,493,t2.small,189.06
34,22,60,897,t2.medium,125.68
50,57,74,279,t2.micro,92.82
96,38,209,874,t2.medium,187.65
26,30,74,455,t2.large,140.52
28,92,162,232,t2.small,112.46
72,40,330,652,t2.large,211.8
11,44,275,781,t2.small,116.24
78,31,424,552,t2.large,220.02
96,67,100,613,t2.large,220.17
79,71,415,132,t2.micro,149.57
81,69,67,855,t2.large,223.28
61,14,432,214,t2.small,122.46
86,46,421,390,t2.small,166.02
80,51,233,394,t2.micro,134.23
90,69,144,235,t2.medium,164.85
45,15,338,693,t2.small,128.05
88,76,107,578,t2.large,223.66
78,29,412,917,t2.medium,196.94
53,55,92,382,t2.micro,102.77
12,72,468,605,t2.large,204.34
31,49,143,284,t2.small,93.36
79,66,235,793,t2.micro,160.3
57,61,239,574,t2.medium,164.39
56,12,123,577,t2.large,170.6
81,23,255,849,t2.micro,144.65
42,27,364,189,t2.small,108.5
90,37,55,201,t2.micro,106.62
33,32,374,111,t2.micro,89.85
84,65,413,906,t2.small,199.29
11,94,446,715,t2.micro,145.27
23,21,191,829,t2.micro,97.58
19,58,362,719,t2.large,192.47
34,11,470,566,t2.large,183.93
18,82,168,962,t2.medium,157.86
55,18,441,146,t2.small,114.4
86,75,249,815,t2.small,184.21
38,66,62,666,t2.large,179.37
15,21,87,861,t2.small,94.17
98,78,151,822,t2.large,244.68
69,83,387,232,t2.large,219.19
74,48,98,180,t2.small,115.11
91,62,257,161,t2.large,208.41
29,35,153,557,t2.small,98.48
41,28,165,880,t2.large,184.65
58,39,481,467,t2.micro,138.92
97,37,332,742,t2.small,177.93
94,96,78,483,t2.small,164.85
84,33,188,991,t2.large,225.71
29,94,309,743,t2.small,155.04
39,48,55,917,t2.medium,142.49
82,27,355,642,t2.large,215.82
93,74,484,249,t2.small,181.97
91,53,134,405,t2.micro,135.92
94,91,129,349,t2.micro,148.2
58,59,421,664,t2.large,225.34
63,39,488,542,t2.micro,150.71
34,52,244,831,t2.medium,153.19
18,30,352,645,t2.micro,101.26
98,71,225,817,t2.medium,210.62
56,75,149,688,t2.large,208.58
46,20,307,166,t2.large,161.97
19,31,218,358,t2.micro,75.0
40,70,413,459,t2.large,205.5
60,17,381,947,t2.small,155.11
86,94,284,645,t2.medium,206.76
68,29,345,182,t2.micro,116.25
53,19,218,585,t2.micro,108.91
54,34,391,608,t2.micro,136.43
82,45,366,292,t2.small,150.8
54,34,496,807,t2.small,164.42
83,27,492,786,t2.micro,167.96
15,24,347,629,t2.large,169.46
37,53,180,386,t2.micro,96.3
88,96,138,468,t2.micro,152.89
95,86,433,715,t2.small,207.91
44,46,61,313,t2.micro,88.02
40,53,304,355,t2.medium,143.35
48,84,225,724,t2.micro,144.68
53,17,259,327,t2.medium,128.31
73,18,103,690,t2.large,185.89
67,35,243,713,t2.small,144.41
79,57,185,840,t2.large,224.51
55,81,105,841,t2.medium,171.22
42,80,486,284,t2.large,211.28
51,99,463,770,t2.medium,208.75
25,94,312,556,t2.medium,164.55
15,66,182,393,t2.small,100.7
75,19,52,132,t2.small,91.54
28,29,225,143,t2.micro,74.34
45,95,52,693,t2.micro,126.25
90,71,412,531,t2.medium,206.11
13,64,201,949,t2.medium,146.11
66,81,74,524,t2.micro,128.22
69,37,308,794,t2.micro,146.9
49,44,123,564,t2.small,121.56
71,78,51,195,t2.medium,148.61
71,13,118,853,t2.micro,119.67
62,95,281,391,t2.small,160.76
74,61,450,840,t2.small,189.56
40,48,88,923,t2.medium,143.04
79,37,216,234,t2.large,187.94
90,52,161,939,t2.small,173.01
44,87,499,943,t2.small,191.65
73,76,301,875,t2.small,179.75
69,90,210,276,t2.medium,167.41
51,97,64,674,t2.medium,162.81
97,20,192,542,t2.medium,164.38
66,62,278,249,t2.medium,159.6
21,73,255,210,t2.small,107.41
63,55,68,202,t2.micro,95.42
70,47,178,156,t2.small,117.83
88,35,57,781,t2.small,144.26
79,57,53,606,t2.medium,159.39
80,55,394,585,t2.medium,187.39
96,67,279,608,t2.micro,168.29
64,34,133,531,t2.micro,111.14
45,76,333,154,t2.micro,121.01
95,76,258,349,t2.medium,185.64
41,53,113,102,t2.micro,82.34
59,94,331,736,t2.micro,169.14
17,93,182,911,t2.large,202.44
47,22,371,363,t2.large,176.93
57,37,169,150,t2.small,104.05
15,17,248,129,t2.medium,91.25
60,14,218,724,t2.large,188.59
54,85,247,204,t2.medium,156.05
77,84,149,216,t2.large,203.08
69,66,416,468,t2.micro,154.82
47,19,173,851,t2.large,183.7
76,81,256,361,t2.large,219.53
75,26,197,498,t2.micro,116.27
99,74,217,396,t2.micro,157.22
83,90,419,142,t2.large,231.31
33,47,130,697,t2.small,113.95
26,64,474,186,t2.micro,118.99
59,42,229,118,t2.medium,129.09
35,70,453,910,t2.medium,188.55
95,49,184,796,t2.large,227.51
79,65,109,250,t2.micro,123.03
93,42,143,575,t2.large,205.36
33,29,135,636,t2.micro,92.43
94,53,226,528,t2.small,160.68
97,43,65,541,t2.large,200.49
98,92,309,158,t2.small,174.89
83,73,257,700,t2.large,233.02
82,86,197,918,t2.medium,206.58
66,37,282,648,t2.medium,163.79
72,66,277,818,t2.micro,158.3
21,11,143,703,t2.micro,80.91
67,90,361,772,t2.large,245.96
57,12,119,317,t2.large,152.25
32,88,297,907,t2.micro,151.48
31,40,225,172,t2.medium,111.86
23,51,499,936,t2.medium,173.73
87,40,402,612,t2.large,231.24
44,15,272,238,t2.medium,120.85
83,84,409,822,t2.large,261.77
41,49,461,757,t2.medium,176.79
47,41,144,993,t2.medium,154.8
80,12,364,787,t2.large,215.67
15,93,463,936,t2.small,167.94
94,78,136,526,t2.micro,157.24
58,65,434,165,t2.micro,137.3
47,96,487,377,t2.medium,188.23
12,70,333,907,t2.small,138.24
54,87,416,496,t2.medium,186.56
29,70,109,871,t2.micro,122.3
77,25,166,241,t2.medium,135.47
45,40,277,930,t2.large,204.46
40,58,76,461,t2.micro,97.36
96,22,100,796,t2.large,209.61
19,74,478,448,t2.small,140.37
26,11,283,766,t2.large,173.74
27,29,181,533,t2.micro,85.74
75,77,485,574,t2.small,190.39
43,11,59,864,t2.micro,92.99
81,18,431,666,t2.medium,184.53
19,54,352,353,t2.small,113.87
59,95,174,511,t2.micro,140.69
36,58,95,193,t2.medium,111.41
60,11,495,204,t2.micro,119.43
84,74,178,413,t2.micro,145.05
74,94,452,634,t2.micro,183.39
52,84,162,701,t2.small,147.01
15,89,424,327,t2.large,193.86
45,19,432,780,t2.micro,130.62
54,75,304,905,t2.medium,188.1
81,53,116,223,t2.large,185.13
21,63,437,377,t2.medium,149.46
67,82,223,877,t2.medium,191.39
77,72,397,990,t2.medium,218.15
71,94,494,679,t2.large,256.35
59,10,188,114,t2.large,150.99
48,62,477,723,t2.micro,158.01
40,64,81,223,t2.small,96.14
70,53,409,865,t2.large,240.61
16,74,487,312,t2.small,131.78
54,57,338,877,t2.large,223.29
34,20,395,977,t2.micro,128.61
61,52,315,835,t2.micro,156.36
95,38,162,885,t2.micro,153.66
19,56,355,116,t2.medium,119.94
56,69,428,252,t2.small,148.73
41,47,321,459,t2.medium,144.4
18,48,201,647,t2.micro,97.72
86,27,343,349,t2.micro,133.8
73,43,292,210,t2.medium,148.33
35,87,236,348,t2.micro,118.08
48,82,447,608,t2.small,168.45
71,86,453,389,t2.small,180.85
59,52,264,954,t2.small,162.87
44,29,427,366,t2.micro,115.5
89,74,452,635,t2.medium,218.5
75,61,387,710,t2.small,180.99
36,13,206,810,t2.medium,130.79
96,40,476,115,t2.micro,152.26
13,56,369,969,t2.medium,161.48
41,40,333,366,t2.small,117.24
26,67,276,723,t2.micro,128.72
32,42,105,526,t2.small,99.1
55,45,133,189,t2.small,104.9
12,80,471,600,t2.small,144.68
96,84,109,576,t2.medium,188.23
99,97,289,765,t2.micro,195.38
51,55,57,421,t2.small,108.52
32,91,439,862,t2.small,175.01
17,46,170,731,t2.large,170.24
98,50,458,791,t2.small,198.23
46,99,161,377,t2.medium,153.56
20,82,136,561,t2.large,175.6
45,56,440,610,t2.large,210.08
36,75,262,421,t2.medium,148.5
52,27,249,118,t2.medium,120.86
69,20,148,956,t2.medium,159.32
93,43,469,567,t2.micro,171.69
64,25,67,977,t2.large,193.19
77,64,490,781,t2.medium,216.43
79,45,439,624,t2.medium,194.35
84,15,96,509,t2.large,182.0
46,49,58,108,t2.large,152.67
19,55,222,293,t2.micro,86.54
74,31,305,493,t2.medium,163.28
99,38,165,581,t2.micro,140.32
69,93,416,854,t2.micro,192.68
23,87,188,143,t2.large,161.97
83,74,245,882,t2.large,243.15
97,74,261,687,t2.large,244.68
35,39,350,779,t2.medium,158.05
71,55,149,882,t2.large,215.67
96,58,471,939,t2.small,209.92
52,59,107,938,t2.micro,133.78
58,51,449,735,t2.medium,186.14
18,40,388,214,t2.large,164.72
31,17,289,747,t2.medium,138.54
20,22,122,515,t2.medium,104.67
42,29,109,138,t2.large,142.41
43,23,142,800,t2.medium,134.73
66,34,427,565,t2.medium,174.65
68,82,145,320,t2.micro,127.97
82,91,319,329,t2.micro,162.44
30,16,154,493,t2.large,152.99
59,83,55,641,t2.small,137.05
15,62,299,682,t2.micro,116.44
83,31,453,922,t2.large,240.07
42,83,350,929,t2.micro,162.29
26,91,166,662,t2.large,189.92
91,50,361,596,t2.large,236.12
63,34,209,670,t2.large,196.27
93,84,384,880,t2.large,274.07
60,22,406,375,t2.micro,123.85
51,37,431,947,t2.micro,153.39
23,56,142,441,t2.micro,88.84
69,40,448,303,t2.medium,167.63
14,28,175,165,t2.micro,59.33
71,40,76,535,t2.small,125.37
84,54,119,193,t2.small,125.58
63,93,461,617,t2.small,186.6
18,93,54,154,t2.small,87.46
92,37,86,172,t2.large,180.96
92,76,207,796,t2.medium,204.2
50,67,246,662,t2.large,206.6
36,64,338,313,t2.medium,143.96
95,40,362,602,t2.micro,159.69
47,62,492,517,t2.medium,176.79
56,91,297,395,t2.small,149.6
46,47,305,222,t2.large,176.83
54,61,180,261,t2.medium,138.69
30,65,138,955,t2.large,194.11
65,81,120,820,t2.medium,180.09
82,61,77,921,t2.micro,151.15
13,38,373,958,t2.micro,121.51
56,47,458,693,t2.medium,183.69
42,78,119,801,t2.large,206.07
89,57,204,570,t2.micro,151.16
80,98,129,565,t2.small,162.08
83,90,202,418,t2.large,227.12
18,65,98,947,t2.small,120.94
91,19,365,487,t2.small,150.77
68,24,465,178,t2.micro,122.17
75,70,497,592,t2.medium,207.42
34,16,373,696,t2.medium,140.58
77,20,139,322,t2.small,114.55
73,41,279,312,t2.small,134.56
12,44,137,881,t2.small,110.0
76,31,289,962,t2.small,166.45
62,57,65,591,t2.large,190.39
46,57,229,365,t2.small,121.72
24,31,67,998,t2.small,109.81
34,23,402,679,t2.large,192.24
44,31,165,182,t2.small,93.47
97,42,422,588,t2.small,179.44
65,10,488,616,t2.large,211.31
15,53,129,264,t2.large,141.44
76,76,57,328,t2.medium,151.21
54,22,288,286,t2.micro,100.7
92,11,386,758,t2.large,226.25
41,97,403,899,t2.medium,200.09
72,46,499,241,t2.large,216.84
95,23,191,148,t2.large,184.58
88,66,110,957,t2.micro,163.9
15,92,234,781,t2.small,142.74
70,95,277,876,t2.large,249.49
56,89,214,734,t2.micro,152.23
24,77,496,779,t2.micro,154.6
55,60,472,606,t2.micro,153.72
42,45,446,713,t2.medium,173.62
74,67,232,138,t2.micro,126.46
26,51,77,639,t2.micro,92.6
94,82,65,347,t2.micro,140.57
22,75,402,581,t2.large,202.79
30,70,274,281,t2.small,118.13
81,10,463,309,t2.micro,134.42
64,31,229,374,t2.large,185.53
29,17,189,537,t2.small,94.2
89,37,488,721,t2.small,184.0
54,91,458,717,t2.small,186.8
10,85,157,921,t2.large,191.58
78,65,482,451,t2.medium,196.51
50,52,121,301,t2.large,168.28
22,80,294,599,t2.medium,155.47
19,22,275,598,t2.micro,94.85
51,78,51,889,t2.small,142.34
34,74,395,664,t2.micro,142.11
48,20,256,563,t2.small,114.88
76,54,495,248,t2.small,162.46
71,89,394,363,t2.medium,189.43
75,88,230,767,t2.medium,197.23
29,30,426,873,t2.micro,132.67
95,16,444,163,t2.large,209.56
85,56,232,781,t2.small,168.45
82,28,279,821,t2.small,158.28
57,68,146,761,t2.micro,136.23
40,98,143,787,t2.micro,140.71
97,31,398,616,t2.micro,163.64
69,38,141,767,t2.large,200.93
60,71,86,377,t2.large,181.84
73,82,492,203,t2.micro,164.63
69,65,106,304,t2.micro,115.98
81,19,456,766,t2.large,232.32
20,22,377,574,t2.small,107.77
57,21,344,966,t2.small,148.83
15,34,412,895,t2.medium,155.04
98,52,180,521,t2.medium,178.61
89,64,211,546,t2.small,159.85
85,48,203,840,t2.micro,153.97
11,20,283,996,t2.micro,105.9
23,95,277,889,t2.large,215.45
53,51,349,516,t2.micro,130.48
11,29,331,327,t2.small,95.61
43,74,134,755,t2.micro,128.5
22,27,424,116,t2.medium,114.68
99,14,343,381,t2.medium,167.97
94,29,365,126,t2.micro,131.51
79,84,273,562,t2.micro,162.8
42,59,458,500,t2.large,209.01
58,22,156,519,t2.medium,132.5
48,75,356,411,t2.micro,138.57
85,89,77,865,t2.small,173.31
31,85,170,758,t2.large,196.86
23,75,130,239,t2.large,156.56
72,64,483,147,t2.large,219.19
25,58,198,743,t2.micro,113.44
17,21,425,827,t2.small,125.22
28,72,292,950,t2.small,151.33
23,48,131,513,t2.medium,119.17
65,57,296,271,t2.medium,158.06
23,36,475,534,t2.micro,118.36
49,11,338,222,t2.micro,96.86
83,60,319,208,t2.medium,169.11
46,58,246,735,t2.micro,129.99
99,57,87,897,t2.micro,161.74
49,28,349,613,t2.small,135.2
70,10,171,442,t2.small,112.05
39,81,105,311,t2.small,115.73
25,40,437,190,t2.medium,131.69
21,12,467,406,t2.large,169.66
67,77,319,449,t2.small,158.95
40,82,128,750,t2.small,143.86
89,67,128,432,t2.large,208.9
60,46,295,152,t2.medium,140.08
54,88,459,111,t2.small,153.19
25,86,375,140,t2.small,119.25
76,98,422,148,t2.large,229.41
90,10,392,311,t2.micro,133.43
75,11,310,904,t2.micro,143.79
88,44,70,518,t2.large,197.1
69,10,289,507,t2.medium,147.06
68,65,182,753,t2.large,215.73
57,33,308,624,t2.micro,127.33
42,87,300,146,t2.large,192.14
33,44,329,362,t2.small,118.34
19,82,270,622,t2.small,133.8
60,87,400,903,t2.small,190.08
41,45,489,514,t2.large,210.78
70,67,104,510,t2.small,133.37
97,24,196,188,t2.large,190.53
93,82,433,435,t2.micro,185.07
23,52,247,132,t2.medium,111.48
22,29,359,153,t2.small,93.34
46,94,424,228,t2.medium,169.53
85,94,423,990,t2.large,277.46
15,61,498,944,t2.medium,179.64
71,20,58,215,t2.small,98.43
24,43,459,373,t2.micro,109.93
91,75,364,420,t2.micro,171.08
30,21,482,395,t2.medium,142.02
44,68,239,440,t2.large,189.42
31,78,89,457,t2.micro,102.66
55,10,214,959,t2.large,192.83
79,29,343,989,t2.medium,189.22
47,87,78,204,t2.small,115.07
64,93,135,247,t2.small,139.31
26,93,461,971,t2.small,178.47
44,19,319,936,t2.micro,129.03
68,57,361,218,t2.micro,132.26
85,43,476,663,t2.large,242.06
91,40,195,895,t2.micro,153.38
64,34,315,679,t2.micro,136.58
92,77,400,412,t2.large,245.28
78,41,434,231,t2.small,151.4
72,11,93,474,t2.large,168.3
22,56,107,702,t2.large,173.16
58,86,318,796,t2.small,174.74
23,65,314,128,t2.medium,125.88
31,60,281,852,t2.small,143.07
73,25,136,335,t2.large,173.56
28,91,350,597,t2.large,209.5
98,95,152,463,t2.small,172.94
53,40,81,901,t2.large,192.71
80,76,335,463,t2.large,230.72
98,56,400,592,t2.large,249.82
55,29,162,685,t2.small,125.17
76,72,277,819,t2.medium,195.95
22,93,146,252,t2.large,168.15
15,65,465,534,t2.small,137.77
81,20,412,316,t2.large,203.37
47,72,268,855,t2.large,217.9
11,44,289,919,t2.micro,113.48
72,90,149,855,t2.small,174.53
75,22,294,345,t2.micro,122.76
58,24,78,827,t2.small,123.12
77,35,155,338,t2.small,125.3
81,49,221,586,t2.medium,173.58
11,17,99,513,t2.micro,61.74
25,68,62,371,t2.micro,84.55
15,69,155,998,t2.large,189.63
46,11,442,309,t2.large,178.39
89,65,475,635,t2.micro,181.58
59,97,434,461,t2.large,238.46
26,86,162,867,t2.medium,160.45
52,79,447,573,t2.large,227.23
21,65,86,491,t2.small,100.3
25,72,165,902,t2.large,194.05
26,17,463,425,t2.micro,105.59
75,89,496,178,t2.small,175.44
74,55,67,554,t2.medium,156.11
70,21,383,172,t2.small,126.84
52,34,305,868,t2.medium,168.63
66,29,158,135,t2.medium,121.81
89,20,194,758,t2.large,210.33
23,54,106,980,t2.small,121.21
42,12,411,989,t2.small,143.14
92,33,51,308,t2.medium,140.81
25,58,454,384,t2.medium,153.44
13,52,491,754,t2.micro,136.02
46,98,496,570,t2.medium,202.78
85,35,479,859,t2.medium,208.91
37,25,56,710,t2.micro,89.16
57,83,465,980,t2.medium,216.4
54,98,490,802,t2.small,194.13
61,56,384,126,t2.small,135.64
42,52,151,802,t2.large,190.77
60,37,296,982,t2.medium,177.65
69,36,164,335,t2.micro,106.46
88,34,207,190,t2.micro,118.95
24,32,78,715,t2.micro,85.0
62,25,426,175,t2.large,188.3
64,40,238,102,t2.medium,133.54
74,13,469,308,t2.small,138.57
80,69,156,290,t2.medium,158.97
33,68,425,537,t2.medium,161.54
51,12,248,895,t2.large,187.17
48,34,217,191,t2.small,100.87
34,80,495,495,t2.large,219.34
10,82,148,843,t2.micro,113.72
83,34,264,515,t2.small,150.64
69,60,389,345,t2.small,156.89
46,88,356,538,t2.large,220.86
50,19,361,294,t2.large,171.69
13,81,465,247,t2.small,128.9
26,64,79,524,t2.micro,94.58
85,35,248,731,t2.medium,178.71
69,22,354,760,t2.micro,141.74
62,88,192,128,t2.small,133.34
92,85,481,575,t2.small,203.67
65,14,460,560,t2.micro,138.63
46,97,269,434,t2.micro,138.3
88,48,112,607,t2.micro,139.97
98,24,212,176,t2.small,127.37
36,60,489,816,t2.micro,153.0
54,60,386,876,t2.large,226.77
19,15,95,451,t2.medium,90.04
58,83,142,847,t2.medium,175.89
39,81,321,338,t2.small,138.14
19,21,498,988,t2.medium,161.34
86,46,84,823,t2.large,209.55
37,81,224,968,t2.small,158.76
39,93,345,749,t2.medium,184.19
84,66,183,101,t2.small,138.74
81,21,395,854,t2.micro,158.81
48,74,73,410,t2.large,176.8
95,91,320,579,t2.large,251.71
60,42,218,392,t2.micro,115.24
81,51,244,532,t2.small,151.9
80,17,99,585,t2.medium,141.17
74,93,68,519,t2.micro,140.05
36,50,64,654,t2.large,168.47
75,69,162,206,t2.small,135.74
41,88,241,799,t2.medium,172.72
25,89,478,594,t2.medium,180.52
47,75,294,848,t2.micro,154.64
41,17,332,818,t2.micro,120.79
57,57,161,448,t2.large,182.8
31,92,429,327,t2.micro,139.13
28,21,145,675,t2.small,101.1
75,63,471,527,t2.medium,200.2
43,78,300,787,t2.micro,148.75
14,28,51,336,t2.small,66.35
71,32,400,103,t2.small,132.45
52,35,346,567,t2.micro,126.11
75,11,186,111,t2.large,161.83
98,36,379,901,t2.micro,178.91
49,64,299,184,t2.small,126.86
32,43,265,156,t2.micro,88.42
40,17,298,312,t2.medium,122.89
17,12,483,597,t2.small,116.13
71,74,302,904,t2.small,181.63
80,89,478,546,t2.micro,185.3
72,84,252,734,t2.small,174.04
83,40,487,523,t2.micro,164.21
96,38,466,149,t2.large,220.01
41,50,431,188,t2.small,129.0
52,59,73,884,t2.micro,126.69
95,76,196,655,t2.micro,164.97
72,65,300,967,t2.micro,168.07
90,27,415,593,t2.large,229.41
40,23,394,359,t2.large,177.14
79,55,328,860,t2.micro,167.89
94,51,184,105,t2.large,193.05
46,82,491,896,t2.micro,176.88
93,12,445,415,t2.medium,180.68
30,85,348,610,t2.large,207.28
83,69,461,480,t2.large,243.04
68,72,104,675,t2.medium,167.28
37,13,362,230,t2.medium,119.69
19,16,294,428,t2.medium,113.04
19,21,420,570,t2.micro,105.13
71,43,357,579,t2.medium,177.93
56,52,368,275,t2.medium,154.38
15,34,99,740,t2.medium,116.41
51,30,181,324,t2.micro,96.28
89,23,182,871,t2.micro,142.41
36,98,217,228,t2.large,187.43
78,29,462,470,t2.micro,150.35
56,73,491,842,t2.small,189.45
40,96,90,575,t2.medium,152.8
55,33,397,620,t2.small,146.93
64,52,215,511,t2.medium,158.3
68,20,130,899,t2.large,195.1
36,84,475,101,t2.large,198.52
50,11,331,947,t2.small,139.8
94,81,353,577,t2.micro,179.57
19,19,241,817,t2.small,110.33
38,59,90,527,t2.medium,129.06
84,31,436,162,t2.small,143.34
14,91,296,315,t2.micro,109.14
